ID,Type,X,Y,Target,Key,ScrollY,Time
"29","device_info","","","","","","1754822444381"
"29","touchstart","507.03704833984375","145.18519592285156","INPUT","","0","1754822445773"
"29","touchend","507.03704833984375","145.18519592285156","INPUT","","0","1754822445829"
"29","mousemove","507","145","","","","1754822445830"
"29","click","507","145","INPUT","","","1754822445833"
"29","keydown","","","","","","1754822447154"
"29","touchstart","484.8148498535156","248.5185546875","INPUT","","0","1754822448128"
"29","touchend","484.8148498535156","248.5185546875","INPUT","","0","1754822448189"
"29","mousemove","484","248","","","","1754822448192"
"29","click","484","248","INPUT","","","1754822448193"
"29","keydown","","","","2","","1754822449812"
"29","keydown","","","","6","","1754822450894"
"29","touchstart","566.2963256835938","319.6296691894531","INPUT","","0","1754822451763"
"29","touchend","566.2963256835938","319.6296691894531","INPUT","","0","1754822451818"
"29","mousemove","566","319","","","","1754822451822"
"29","click","566","319","INPUT","","","1754822451825"
"29","keydown","","","","","","1754822453210"
"29","touchstart","456.29632568359375","432.22222900390625","INPUT","","0","1754822453708"
"29","touchend","456.66668701171875","431.85186767578125","INPUT","","0","1754822453790"
"29","mousemove","456","421","","","","1754822453793"
"29","click","456","421","INPUT","","","1754822453796"
"29","keydown","","","","","","1754822454982"
"29","touchstart","492.5926208496094","473.7037658691406","SELECT","","0","1754822455549"
"29","touchmove","494.8148498535156","455.1852111816406","SELECT","","0","1754822455684"
"29","touchmove","495.92596435546875","445.5555725097656","SELECT","","0","1754822455707"
"29","touchmove","498.888916015625","428.1481628417969","SELECT","","0","1754822455741"
"29","touchmove","535.1851806640625","266.29632568359375","SELECT","","0","1754822455941"
"29","touchmove","550.3704223632812","178.14816284179688","SELECT","","0","1754822456174"
"29","touchend","550.3704223632812","178.14816284179688","SELECT","","0","1754822456220"
"29","touchstart","522.5925903320312","216.6666717529297","SELECT","","0","1754822456799"
"29","touchend","522.5925903320312","216.6666717529297","SELECT","","0","1754822456831"
"29","mousemove","522","216","","","","1754822456833"
"29","click","522","216","SELECT","","","1754822456846"
"29","click","142","202","SELECT","","","1754822458202"
"29","touchstart","147.40740966796875","294.0740966796875","INPUT","","0","1754822459671"
"29","touchend","147.40740966796875","294.0740966796875","INPUT","","0","1754822459733"
"29","mousemove","147","294","","","","1754822459735"
"29","click","147","294","INPUT","","","1754822459737"
"29","touchstart","295.1852111816406","359.25927734375","INPUT","","0","1754822461730"
"29","touchend","295.1852111816406","359.25927734375","INPUT","","0","1754822461796"
"29","mousemove","289","354","","","","1754822461799"
"29","click","289","354","INPUT","","","1754822461801"
"29","touchstart","158.14816284179688","421.11114501953125","INPUT","","0","1754822462805"
"29","touchend","158.14816284179688","421.11114501953125","INPUT","","0","1754822462851"
"29","mousemove","153","413","","","","1754822462853"
"29","click","153","413","INPUT","","","1754822462855"
"29","touchstart","165.18519592285156","531.4815673828125","INPUT","","0","1754822464229"
"29","touchend","165.18519592285156","531.1111450195312","INPUT","","0","1754822464282"
"29","mousemove","157","526","","","","1754822464285"
"29","click","157","526","INPUT","","","1754822464287"
"29","touchstart","359.25927734375","480.3704528808594","INPUT","","0","1754822465242"
"29","touchend","359.25927734375","480.3704528808594","INPUT","","0","1754822465283"
"29","mousemove","360","472","","","","1754822465285"
"29","click","360","472","INPUT","","","1754822465287"
"29","touchstart","434.4444580078125","497.4074401855469","DIV","","0","1754822465860"
"29","touchmove","440.7407531738281","477.7778015136719","DIV","","0","1754822465933"
"29","touchmove","447.4074401855469","445.9259948730469","DIV","","0","1754822465974"
"29","touchmove","453.7037353515625","411.11114501953125","DIV","","0","1754822466007"
"29","touchmove","506.66668701171875","221.11111450195312","DIV","","0","1754822466208"
"29","touchmove","524.8148193359375","158.88890075683594","DIV","","0","1754822466410"
"29","touchmove","524.8148193359375","158.5185546875","DIV","","0","1754822466504"
"29","touchend","524.8148193359375","158.5185546875","DIV","","0","1754822466504"
"29","touchstart","161.11111450195312","267.03704833984375","INPUT","","0","1754822468037"
"29","touchend","161.11111450195312","267.7778015136719","INPUT","","0","1754822468088"
"29","mousemove","155","261","","","","1754822468090"
"29","click","155","261","INPUT","","","1754822468092"
"29","touchstart","290.3703918457031","320","INPUT","","0","1754822470487"
"29","touchend","290","325.5555725097656","INPUT","","0","1754822470556"
"29","mousemove","290","320","","","","1754822470559"
"29","click","290","320","INPUT","","","1754822470562"
"29","touchstart","150","383.7037353515625","INPUT","","0","1754822471536"
"29","touchend","150.74075317382812","385.1852111816406","INPUT","","0","1754822471598"
"29","mousemove","150","383","","","","1754822471601"
"29","click","150","383","INPUT","","","1754822471602"
"29","touchstart","284.4444580078125","451.4815368652344","INPUT","","0","1754822472748"
"29","touchend","284.4444580078125","451.4815368652344","INPUT","","0","1754822472797"
"29","mousemove","288","441","","","","1754822472800"
"29","click","288","441","INPUT","","","1754822472802"
"29","touchstart","443.7037353515625","497.7778015136719","INPUT","","0","1754822474089"
"29","touchend","443.7037353515625","497.7778015136719","INPUT","","0","1754822474185"
"29","mousemove","443","497","","","","1754822474188"
"29","click","443","497","INPUT","","","1754822474190"
"29","touchstart","719.2593383789062","564.8148803710938","BUTTON","","0","1754822475020"
"29","touchend","719.2593383789062","564.8148803710938","BUTTON","","0","1754822475091"
"29","mousemove","719","564","","","","1754822475093"
"29","click","719","564","BUTTON","","","1754822475114"
"29","touchstart","518.148193359375","78.14816284179688","DIV","","0","1754822476264"
"29","touchmove","516.6666870117188","95.92594146728516","DIV","","0","1754822476338"
"29","touchmove","512.9630126953125","117.03705596923828","DIV","","0","1754822476375"
"29","touchmove","482.2222595214844","355.1852111816406","DIV","","0","1754822476575"
"29","touchmove","473.3333435058594","502.5926513671875","DIV","","0","1754822476776"
"29","touchmove","479.25927734375","600.7407836914062","DIV","","0","1754822477009"
"29","touchmove","488.5185546875","631.1111450195312","DIV","","0","1754822477058"
"29","touchend","488.5185546875","631.1111450195312","DIV","","0","1754822477058"
"29","touchstart","525.5556030273438","207.03704833984375","DIV","","0","1754822477472"
"29","touchmove","521.4815063476562","228.14816284179688","DIV","","0","1754822477512"
